Région,Sexe,Période,ICD-10,Type cancer,Nombre de cas ,Taux brut , Taux standardisé ,lower 95% ,upper IC 95%
Suisse,Hommes,1999,C90,Myélome multiple,170,4.9,4.4,3.5,5.4
Suisse,Hommes,1999,C91-95,Leucémie,549,15.7,14.7,13,16.5
Suisse,Hommes,1999,C91,Leucémie lymphoïde,297,8.5,8,6.8,9.3
Suisse,Hommes,1999,C92-94,Leucémie myéloïde,236,6.8,6.2,5.2,7.4
Suisse,Hommes,1999,Other_C-code,Autres localisations du cancer,567,16.3,14.7,13.1,16.5
Suisse,Hommes,1999,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),17123,490.7,445.8,436.7,455
Suisse,Hommes,2000,C00-14,Cavité buccale et pharynx,612,17.4,16.5,14.8,18.3
Suisse,Hommes,2000,C15,Œsophage,367,10.4,9.6,8.4,11
Suisse,Hommes,2000,C16,Estomac,584,16.6,14.9,13.3,16.6
Suisse,Hommes,2000,C17,Intestin grêle,78,2.2,2,1.5,2.8
Suisse,Hommes,2000,C18-20,Côlon et Rectum,2057,58.6,52.2,49.2,55.4
Suisse,Hommes,2000,C21,Anus et Canal anal,37,1.1,0.9,0.6,1.5
Suisse,Hommes,2000,C22,Foie,446,12.7,11.6,10.3,13.1
Suisse,Hommes,2000,C23-24,Vésicule et voies biliaires extra-hépat.,109,3.1,2.7,2.1,3.5
Suisse,Hommes,2000,C25,Pancréas,432,12.3,10.9,9.6,12.4
Suisse,Hommes,2000,C32,Larynx,256,7.3,6.9,5.8,8.1
Suisse,Hommes,2000,C33-34,"Poumon, Bronches, Trachée",2398,68.3,61.8,58.5,65.3
Suisse,Hommes,2000,"C38.4,C45.0",Plèvre,122,3.5,3.3,2.5,4.2
Suisse,Hommes,2000,C40-41,"Os, Articulations, Cartilage",46,1.3,1.3,0.8,1.9
Suisse,Hommes,2000,C43,Mélanome,747,21.3,19.2,17.4,21.2
Suisse,Hommes,2000,"C47,C49",Tissus mous,137,3.9,3.6,2.8,4.5
Suisse,Hommes,2000,C50,Sein,29,0.8,0.7,0.4,1.2
Suisse,Hommes,2000,C61,Prostate,4970,141.6,125.8,121.1,130.8
Suisse,Hommes,2000,C62,Testicule,372,10.6,9.8,8.4,11.2
Suisse,Hommes,2000,C64,Rein,440,12.5,11.4,10,12.9
Suisse,Hommes,2000,C67,Vessie,721,20.5,18.2,16.5,20.1
Suisse,Hommes,2000,"C65-66,C68",Autres organes urinaires,80,2.3,1.9,1.4,2.6
Suisse,Hommes,2000,C69,Œil,25,0.7,0.7,0.4,1.1
Suisse,Hommes,2000,C70-72,Cerveau et Système nerveux central,283,8.1,7.5,6.4,8.8
Suisse,Hommes,2000,C73,Thyroïde,111,3.2,2.8,2.2,3.7
Suisse,Hommes,2000,C81,Lymphome de Hodgkin,90,2.6,2.4,1.8,3.2
Suisse,Hommes,2000,"C82-86,C96",Lymphome non hodgkinien,659,18.8,17.2,15.4,19.1
Suisse,Hommes,2000,C90,Myélome multiple,254,7.2,6.5,5.5,7.7
Suisse,Hommes,2000,C91-95,Leucémie,477,13.6,12.8,11.2,14.4
Suisse,Hommes,2000,C91,Leucémie lymphoïde,267,7.6,7.2,6.1,8.5
Suisse,Hommes,2000,C92-94,Leucémie myéloïde,189,5.4,4.9,4,6
Suisse,Hommes,2000,Other_C-code,Autres localisations du cancer,635,18.1,16.1,14.4,17.9
Suisse,Hommes,2000,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),17574,500.6,451.5,442.4,460.7
Suisse,Hommes,2001,C00-14,Cavité buccale et pharynx,651,18.4,17,15.3,18.9
Suisse,Hommes,2001,C15,Œsophage,337,9.6,8.6,7.4,10
Suisse,Hommes,2001,C16,Estomac,523,14.8,12.9,11.5,14.6
Suisse,Hommes,2001,C17,Intestin grêle,112,3.2,2.8,2.1,3.6
Suisse,Hommes,2001,C18-20,Côlon et Rectum,2101,59.5,52.5,49.5,55.7
Suisse,Hommes,2001,C21,Anus et Canal anal,57,1.6,1.4,1,2
Suisse,Hommes,2001,C22,Foie,479,13.6,12.2,10.8,13.7
Suisse,Hommes,2001,C23-24,Vésicule et voies biliaires extra-hépat.,95,2.7,2.4,1.8,3.2
Suisse,Hommes,2001,C25,Pancréas,482,13.7,11.8,10.4,13.4
Suisse,Hommes,2001,C32,Larynx,245,6.9,6.3,5.3,7.4
Suisse,Hommes,2001,C33-34,"Poumon, Bronches, Trachée",2451,69.4,61.7,58.5,65.1
Suisse,Hommes,2001,"C38.4,C45.0",Plèvre,119,3.4,3,2.3,3.8
Suisse,Hommes,2001,C40-41,"Os, Articulations, Cartilage",49,1.4,1.3,0.9,1.9
Suisse,Hommes,2001,C43,Mélanome,799,22.6,20.5,18.6,22.5
Suisse,Hommes,2001,"C47,C49",Tissus mous,104,2.9,2.7,2,3.5
Suisse,Hommes,2001,C50,Sein,36,1,0.9,0.5,1.3
Suisse,Hommes,2001,C61,Prostate,5408,153.2,134.8,130,139.9
Suisse,Hommes,2001,C62,Testicule,365,10.4,9.7,8.4,11.2
Suisse,Hommes,2001,C64,Rein,423,12,10.9,9.5,12.4
Suisse,Hommes,2001,C67,Vessie,679,19.2,16.8,15.1,18.6
Suisse,Hommes,2001,"C65-66,C68",Autres organes urinaires,77,2.2,1.9,1.4,2.6
Suisse,Hommes,2001,C69,Œil,24,0.7,0.7,0.3,1.1
Suisse,Hommes,2001,C70-72,Cerveau et Système nerveux central,296,8.4,7.9,6.7,9.2
Suisse,Hommes,2001,C73,Thyroïde,100,2.8,2.6,1.9,3.3
Suisse,Hommes,2001,C81,Lymphome de Hodgkin,126,3.6,3.5,2.7,4.4
Suisse,Hommes,2001,"C82-86,C96",Lymphome non hodgkinien,631,17.9,16.1,14.4,17.9
Suisse,Hommes,2001,C90,Myélome multiple,215,6.1,5.3,4.4,6.4
Suisse,Hommes,2001,C91-95,Leucémie,533,15.1,13.9,12.3,15.6
Suisse,Hommes,2001,C91,Leucémie lymphoïde,285,8.1,7.6,6.4,8.9
Suisse,Hommes,2001,C92-94,Leucémie myéloïde,225,6.4,5.6,4.7,6.7
Suisse,Hommes,2001,Other_C-code,Autres localisations du cancer,557,15.8,14.1,12.5,15.8
Suisse,Hommes,2001,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),18076,512.2,456.3,447.2,465.4
Suisse,Hommes,2002,C00-14,Cavité buccale et pharynx,660,18.5,17,15.3,18.8
Suisse,Hommes,2002,C15,Œsophage,336,9.4,8.4,7.3,9.7
Suisse,Hommes,2002,C16,Estomac,507,14.2,12.2,10.8,13.8
Suisse,Hommes,2002,C17,Intestin grêle,67,1.9,1.6,1.1,2.2
Suisse,Hommes,2002,C18-20,Côlon et Rectum,2173,61,52.7,49.7,55.8
Suisse,Hommes,2002,C21,Anus et Canal anal,47,1.3,1.1,0.7,1.7
Suisse,Hommes,2002,C22,Foie,478,13.4,11.9,10.5,13.4
Suisse,Hommes,2002,C23-24,Vésicule et voies biliaires extra-hépat.,115,3.2,2.7,2.1,3.5
Suisse,Hommes,2002,C25,Pancréas,473,13.3,11.5,10.1,13
Suisse,Hommes,2002,C32,Larynx,241,6.8,6.2,5.2,7.4
Suisse,Hommes,2002,C33-34,"Poumon, Bronches, Trachée",2397,67.3,58.9,55.7,62.2
Suisse,Hommes,2002,"C38.4,C45.0",Plèvre,123,3.5,3.2,2.4,4.1
Suisse,Hommes,2002,C40-41,"Os, Articulations, Cartilage",56,1.6,1.5,1,2.2
Suisse,Hommes,2002,C43,Mélanome,887,24.9,22.4,20.4,24.4
Suisse,Hommes,2002,"C47,C49",Tissus mous,119,3.4,3,2.3,3.8
Suisse,Hommes,2002,C50,Sein,38,1.1,0.9,0.6,1.5
Suisse,Hommes,2002,C61,Prostate,5687,159.8,139.5,134.6,144.6
Suisse,Hommes,2002,C62,Testicule,362,10.2,9.7,8.4,11.2
Suisse,Hommes,2002,C64,Rein,539,15.1,13.4,11.9,15
Suisse,Hommes,2002,C67,Vessie,740,20.8,17.7,16,19.5
Suisse,Hommes,2002,"C65-66,C68",Autres organes urinaires,77,2.2,1.8,1.3,2.5
Suisse,Hommes,2002,C69,Œil,38,1.1,1,0.6,1.5
Suisse,Hommes,2002,C70-72,Cerveau et Système nerveux central,304,8.5,8,6.8,9.3
Suisse,Hommes,2002,C73,Thyroïde,103,2.9,2.6,2,3.4
Suisse,Hommes,2002,C81,Lymphome de Hodgkin,137,3.9,3.7,2.9,4.6
Suisse,Hommes,2002,"C82-86,C96",Lymphome non hodgkinien,650,18.3,16.1,14.5,17.9
Suisse,Hommes,2002,C90,Myélome multiple,227,6.4,5.5,4.5,6.5
Suisse,Hommes,2002,C91-95,Leucémie,571,16.1,14.3,12.7,16.1
Suisse,Hommes,2002,C91,Leucémie lymphoïde,340,9.5,8.7,7.5,10.2
Suisse,Hommes,2002,C92-94,Leucémie myéloïde,222,6.2,5.4,4.4,6.4
Suisse,Hommes,2002,Other_C-code,Autres localisations du cancer,633,17.8,15.4,13.8,17.2
Suisse,Hommes,2002,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),18788,527.8,463.9,454.9,473.1
Suisse,Hommes,2003,C00-14,Cavité buccale et pharynx,705,19.7,18,16.2,19.8
Suisse,Hommes,2003,C15,Œsophage,366,10.2,9,7.8,10.4
Suisse,Hommes,2003,C16,Estomac,534,14.9,12.4,11,14
Suisse,Hommes,2003,C17,Intestin grêle,95,2.6,2.3,1.7,3
Suisse,Hommes,2003,C18-20,Côlon et Rectum,2172,60.5,52,49,55
Suisse,Hommes,2003,C21,Anus et Canal anal,40,1.1,1,0.6,1.5
Suisse,Hommes,2003,C22,Foie,451,12.6,11,9.7,12.4
Suisse,Hommes,2003,C23-24,Vésicule et voies biliaires extra-hépat.,119,3.3,2.7,2.1,3.5
Suisse,Hommes,2003,C25,Pancréas,466,13,10.9,9.6,12.3
Suisse,Hommes,2003,C32,Larynx,260,7.2,6.5,5.5,7.7
Suisse,Hommes,2003,C33-34,"Poumon, Bronches, Trachée",2456,68.4,59.3,56.2,62.6
Suisse,Hommes,2003,"C38.4,C45.0",Plèvre,121,3.4,3,2.3,3.9
Suisse,Hommes,2003,C40-41,"Os, Articulations, Cartilage",36,1,1,0.6,1.5
Suisse,Hommes,2003,C43,Mélanome,953,26.6,23.7,21.6,25.8
Suisse,Hommes,2003,"C47,C49",Tissus mous,154,4.3,3.8,3,4.7
Suisse,Hommes,2003,C50,Sein,24,0.7,0.5,0.3,0.9
Suisse,Hommes,2003,C61,Prostate,5642,157.2,136.2,131.4,141.2
Suisse,Hommes,2003,C62,Testicule,383,10.7,10.1,8.8,11.6
Suisse,Hommes,2003,C64,Rein,527,14.7,13,11.5,14.7
Suisse,Hommes,2003,C67,Vessie,702,19.6,16.5,14.9,18.3
Suisse,Hommes,2003,"C65-66,C68",Autres organes urinaires,63,1.8,1.5,1,2
Suisse,Hommes,2003,C69,Œil,35,1,0.9,0.5,1.4
Suisse,Hommes,2003,C70-72,Cerveau et Système nerveux central,305,8.5,7.9,6.7,9.2
Suisse,Hommes,2003,C73,Thyroïde,102,2.8,2.6,2,3.4
Suisse,Hommes,2003,C81,Lymphome de Hodgkin,126,3.5,3.4,2.6,4.4
Suisse,Hommes,2003,"C82-86,C96",Lymphome non hodgkinien,646,18,15.8,14.2,17.5
Suisse,Hommes,2003,C90,Myélome multiple,254,7.1,6.1,5.1,7.2
Suisse,Hommes,2003,C91-95,Leucémie,537,15,13.4,11.9,15.1
Suisse,Hommes,2003,C91,Leucémie lymphoïde,313,8.7,8,6.8,9.3
Suisse,Hommes,2003,C92-94,Leucémie myéloïde,210,5.9,5.1,4.2,6.1
Suisse,Hommes,2003,Other_C-code,Autres localisations du cancer,588,16.4,14.1,12.6,15.7
Suisse,Hommes,2003,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),18862,525.6,458.6,449.7,467.7
Suisse,Hommes,2004,C00-14,Cavité buccale et pharynx,721,20,17.9,16.2,19.7
Suisse,Hommes,2004,C15,Œsophage,373,10.3,9,7.8,10.3
Suisse,Hommes,2004,C16,Estomac,478,13.2,11.1,9.8,12.6
Suisse,Hommes,2004,C17,Intestin grêle,91,2.5,2.2,1.6,2.9
Suisse,Hommes,2004,C18-20,Côlon et Rectum,2160,59.8,50.4,47.5,53.4
Suisse,Hommes,2004,C21,Anus et Canal anal,40,1.1,1,0.6,1.5
Suisse,Hommes,2004,C22,Foie,489,13.5,11.7,10.3,13.2
Suisse,Hommes,2004,C23-24,Vésicule et voies biliaires extra-hépat.,138,3.8,3.1,2.4,3.9
Suisse,Hommes,2004,C25,Pancréas,507,14,11.5,10.2,12.9
Suisse,Hommes,2004,C32,Larynx,224,6.2,5.5,4.6,6.6
Suisse,Hommes,2004,C33-34,"Poumon, Bronches, Trachée",2462,68.1,58.4,55.3,61.7
Suisse,Hommes,2004,"C38.4,C45.0",Plèvre,131,3.6,3.1,2.4,3.9
Suisse,Hommes,2004,C40-41,"Os, Articulations, Cartilage",57,1.6,1.6,1.1,2.2
Suisse,Hommes,2004,C43,Mélanome,900,24.9,21.9,20,24
Suisse,Hommes,2004,"C47,C49",Tissus mous,110,3.1,2.7,2.1,3.6
Suisse,Hommes,2004,C50,Sein,27,0.8,0.7,0.4,1.1
Suisse,Hommes,2004,C61,Prostate,6070,167.9,143.8,138.8,148.8
Suisse,Hommes,2004,C62,Testicule,410,11.3,10.5,9.2,12
Suisse,Hommes,2004,C64,Rein,463,12.8,11.1,9.8,12.6
Suisse,Hommes,2004,C67,Vessie,793,21.9,18,16.3,19.8
Suisse,Hommes,2004,"C65-66,C68",Autres organes urinaires,81,2.2,1.9,1.4,2.6
Suisse,Hommes,2004,C69,Œil,53,1.5,1.3,0.9,1.9
Suisse,Hommes,2004,C70-72,Cerveau et Système nerveux central,291,8,7.4,6.3,8.7
Suisse,Hommes,2004,C73,Thyroïde,114,3.2,2.9,2.2,3.7
Suisse,Hommes,2004,C81,Lymphome de Hodgkin,135,3.7,3.6,2.9,4.6
Suisse,Hommes,2004,"C82-86,C96",Lymphome non hodgkinien,632,17.5,15,13.4,16.7
Suisse,Hommes,2004,C90,Myélome multiple,263,7.3,6.2,5.2,7.3
Suisse,Hommes,2004,C91-95,Leucémie,553,15.3,13.5,12,15.2
Suisse,Hommes,2004,C91,Leucémie lymphoïde,297,8.2,7.3,6.2,8.6
Suisse,Hommes,2004,C92-94,Leucémie myéloïde,246,6.8,5.9,4.9,7.1
Suisse,Hommes,2004,Other_C-code,Autres localisations du cancer,580,16,13.6,12.1,15.2
Suisse,Hommes,2004,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),19347,535.2,460.7,451.8,469.6
Suisse,Hommes,2005,C00-14,Cavité buccale et pharynx,765,21,18.6,16.9,20.5
Suisse,Hommes,2005,C15,Œsophage,385,10.6,9.1,7.9,10.5
Suisse,Hommes,2005,C16,Estomac,473,13,10.9,9.6,12.3
Suisse,Hommes,2005,C17,Intestin grêle,86,2.4,2.1,1.5,2.8
Suisse,Hommes,2005,C18-20,Côlon et Rectum,2193,60.2,50.1,47.3,53
Suisse,Hommes,2005,C21,Anus et Canal anal,40,1.1,1,0.6,1.5
Suisse,Hommes,2005,C22,Foie,466,12.8,10.9,9.7,12.3
Suisse,Hommes,2005,C23-24,Vésicule et voies biliaires extra-hépat.,157,4.3,3.5,2.8,4.3
Suisse,Hommes,2005,C25,Pancréas,473,13,10.7,9.4,12
Suisse,Hommes,2005,C32,Larynx,203,5.6,4.9,4,5.9
Suisse,Hommes,2005,C33-34,"Poumon, Bronches, Trachée",2525,69.3,58.6,55.6,61.8
Suisse,Hommes,2005,"C38.4,C45.0",Plèvre,146,4,3.3,2.6,4.2
Suisse,Hommes,2005,C40-41,"Os, Articulations, Cartilage",40,1.1,1.1,0.7,1.7
Suisse,Hommes,2005,C43,Mélanome,974,26.8,23,21.1,25
Suisse,Hommes,2005,"C47,C49",Tissus mous,102,2.8,2.5,1.9,3.2
Suisse,Hommes,2005,C50,Sein,28,0.8,0.7,0.4,1.1
Suisse,Hommes,2005,C61,Prostate,5860,161,135,130.3,139.8
Suisse,Hommes,2005,C62,Testicule,387,10.6,10.1,8.7,11.6
Suisse,Hommes,2005,C64,Rein,478,13.1,11.3,10,12.8
Suisse,Hommes,2005,C67,Vessie,852,23.4,19,17.3,20.8
Suisse,Hommes,2005,"C65-66,C68",Autres organes urinaires,76,2.1,1.8,1.3,2.4
Suisse,Hommes,2005,C69,Œil,51,1.4,1.4,0.9,2
Suisse,Hommes,2005,C70-72,Cerveau et Système nerveux central,291,8,7.2,6.1,8.4
Suisse,Hommes,2005,C73,Thyroïde,152,4.2,3.7,3,4.6
Suisse,Hommes,2005,C81,Lymphome de Hodgkin,125,3.4,3.3,2.6,4.1
Suisse,Hommes,2005,"C82-86,C96",Lymphome non hodgkinien,619,17,14.7,13.2,16.4
Suisse,Hommes,2005,C90,Myélome multiple,245,6.7,5.6,4.6,6.6
Suisse,Hommes,2005,C91-95,Leucémie,625,17.2,15.4,13.8,17.2
Suisse,Hommes,2005,C91,Leucémie lymphoïde,363,10,9.1,7.8,10.5
Suisse,Hommes,2005,C92-94,Leucémie myéloïde,247,6.8,6,5,7.1
Suisse,Hommes,2005,Other_C-code,Autres localisations du cancer,576,15.8,13.2,11.8,14.8
Suisse,Hommes,2005,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),19393,532.7,452.5,443.8,461.2
Suisse,Hommes,2006,C00-14,Cavité buccale et pharynx,722,19.7,17.1,15.5,18.8
Suisse,Hommes,2006,C15,Œsophage,356,9.7,8,7,9.2
Suisse,Hommes,2006,C16,Estomac,482,13.2,10.9,9.6,12.3
Suisse,Hommes,2006,C17,Intestin grêle,84,2.3,1.9,1.4,2.5
Suisse,Hommes,2006,C18-20,Côlon et Rectum,2269,61.9,50.5,47.7,53.4
Suisse,Hommes,2006,C21,Anus et Canal anal,54,1.5,1.2,0.8,1.8
Suisse,Hommes,2006,C22,Foie,496,13.5,11.3,10,12.6
Suisse,Hommes,2006,C23-24,Vésicule et voies biliaires extra-hépat.,145,3.9,3.2,2.5,4
Suisse,Hommes,2006,C25,Pancréas,511,13.9,11.3,10,12.7
Suisse,Hommes,2006,C32,Larynx,276,7.5,6.4,5.4,7.5
Suisse,Hommes,2006,C33-34,"Poumon, Bronches, Trachée",2417,65.9,55,52.1,58
Suisse,Hommes,2006,"C38.4,C45.0",Plèvre,152,4.1,3.4,2.7,4.3
Suisse,Hommes,2006,C40-41,"Os, Articulations, Cartilage",37,1,1,0.6,1.5
Suisse,Hommes,2006,C43,Mélanome,960,26.2,22.3,20.4,24.2
Suisse,Hommes,2006,"C47,C49",Tissus mous,119,3.3,2.9,2.2,3.6
Suisse,Hommes,2006,C50,Sein,41,1.1,0.9,0.6,1.4
Suisse,Hommes,2006,C61,Prostate,5910,161.2,133.4,128.8,138.1
Suisse,Hommes,2006,C62,Testicule,426,11.6,11.1,9.7,12.7
Suisse,Hommes,2006,C64,Rein,511,13.9,11.6,10.2,13
Suisse,Hommes,2006,C67,Vessie,838,22.9,18.3,16.7,20.1
Suisse,Hommes,2006,"C65-66,C68",Autres organes urinaires,66,1.8,1.5,1.1,2.1
Suisse,Hommes,2006,C69,Œil,44,1.2,1,0.7,1.6
Suisse,Hommes,2006,C70-72,Cerveau et Système nerveux central,290,7.9,7.3,6.2,8.6
Suisse,Hommes,2006,C73,Thyroïde,160,4.4,3.8,3.1,4.8
Suisse,Hommes,2006,C81,Lymphome de Hodgkin,113,3.1,3,2.3,3.8
Suisse,Hommes,2006,"C82-86,C96",Lymphome non hodgkinien,749,20.4,17.2,15.5,18.9
Suisse,Hommes,2006,C90,Myélome multiple,283,7.7,6.3,5.3,7.4
Suisse,Hommes,2006,C91-95,Leucémie,588,16,13.8,12.3,15.4
Suisse,Hommes,2006,C91,Leucémie lymphoïde,343,9.4,8,6.9,9.3
Suisse,Hommes,2006,C92-94,Leucémie myéloïde,234,6.4,5.5,4.6,6.6
Suisse,Hommes,2006,Other_C-code,Autres localisations du cancer,548,15,12.5,11.1,14
Suisse,Hommes,2006,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),19648,535.9,447.9,439.5,456.5
Suisse,Hommes,2007,C00-14,Cavité buccale et pharynx,777,21,18,16.3,19.7
Suisse,Hommes,2007,C15,Œsophage,365,9.8,8.1,7,9.2
Suisse,Hommes,2007,C16,Estomac,452,12.2,10,8.8,11.3
Suisse,Hommes,2007,C17,Intestin grêle,93,2.5,2.1,1.6,2.8
Suisse,Hommes,2007,C18-20,Côlon et Rectum,2444,66,53.4,50.6,56.3
Suisse,Hommes,2007,C21,Anus et Canal anal,48,1.3,1.1,0.7,1.6
Suisse,Hommes,2007,C22,Foie,544,14.7,12.2,11,13.6
Suisse,Hommes,2007,C23-24,Vésicule et voies biliaires extra-hépat.,136,3.7,2.9,2.3,3.7
Suisse,Hommes,2007,C25,Pancréas,518,14,11.2,9.9,12.5
Suisse,Hommes,2007,C32,Larynx,252,6.8,5.8,4.9,6.8
Suisse,Hommes,2007,C33-34,"Poumon, Bronches, Trachée",2586,69.8,57.4,54.4,60.5
Suisse,Hommes,2007,"C38.4,C45.0",Plèvre,134,3.6,2.8,2.2,3.6
Suisse,Hommes,2007,C40-41,"Os, Articulations, Cartilage",46,1.2,1.2,0.8,1.8
Suisse,Hommes,2007,C43,Mélanome,1058,28.6,24.1,22.2,26.2
Suisse,Hommes,2007,"C47,C49",Tissus mous,116,3.1,2.7,2,3.4
Suisse,Hommes,2007,C50,Sein,33,0.9,0.7,0.4,1.2
Suisse,Hommes,2007,C61,Prostate,6303,170.2,139.6,134.9,144.4
Suisse,Hommes,2007,C62,Testicule,409,11,10.6,9.3,12.1
Suisse,Hommes,2007,C64,Rein,573,15.5,12.9,11.5,14.5
Suisse,Hommes,2007,C67,Vessie,861,23.3,18.4,16.8,20.1
Suisse,Hommes,2007,"C65-66,C68",Autres organes urinaires,83,2.3,1.7,1.3,2.3
Suisse,Hommes,2007,C69,Œil,46,1.3,1.1,0.7,1.7
Suisse,Hommes,2007,C70-72,Cerveau et Système nerveux central,362,9.8,8.7,7.5,10.1
Suisse,Hommes,2007,C73,Thyroïde,166,4.5,4,3.3,4.9
Suisse,Hommes,2007,C81,Lymphome de Hodgkin,151,4.1,3.8,3,4.7
Suisse,Hommes,2007,"C82-86,C96",Lymphome non hodgkinien,784,21.2,17.8,16.1,19.6
Suisse,Hommes,2007,C90,Myélome multiple,289,7.8,6.3,5.3,7.4
Suisse,Hommes,2007,C91-95,Leucémie,578,15.6,13.3,11.9,14.9
Suisse,Hommes,2007,C91,Leucémie lymphoïde,338,9.1,7.9,6.8,9.2
Suisse,Hommes,2007,C92-94,Leucémie myéloïde,226,6.1,5.1,4.2,6.1
Suisse,Hommes,2007,Other_C-code,Autres localisations du cancer,654,17.6,14.4,12.9,16
Suisse,Hommes,2007,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),20862,563.4,466.3,457.8,475
Suisse,Hommes,2008,C00-14,Cavité buccale et pharynx,776,20.7,17.7,16.1,19.5
Suisse,Hommes,2008,C15,Œsophage,388,10.3,8.4,7.3,9.6
Suisse,Hommes,2008,C16,Estomac,504,13.4,10.9,9.6,12.3
Suisse,Hommes,2008,C17,Intestin grêle,89,2.4,2,1.4,2.6
Suisse,Hommes,2008,C18-20,Côlon et Rectum,2366,63,50.4,47.7,53.2
Suisse,Hommes,2008,C21,Anus et Canal anal,51,1.3,1.1,0.7,1.6
Suisse,Hommes,2008,C22,Foie,532,14.1,11.7,10.5,13.1
Suisse,Hommes,2008,C23-24,Vésicule et voies biliaires extra-hépat.,135,3.6,2.8,2.2,3.6
Suisse,Hommes,2008,C25,Pancréas,523,13.9,11.1,9.8,12.4
Suisse,Hommes,2008,C32,Larynx,254,6.8,5.7,4.8,6.7
Suisse,Hommes,2008,C33-34,"Poumon, Bronches, Trachée",2526,67.2,54.2,51.4,57.1
Suisse,Hommes,2008,"C38.4,C45.0",Plèvre,188,5,4,3.2,4.9
Suisse,Hommes,2008,C40-41,"Os, Articulations, Cartilage",52,1.4,1.2,0.8,1.8
Suisse,Hommes,2008,C43,Mélanome,1237,32.9,27.3,25.3,29.5
Suisse,Hommes,2008,"C47,C49",Tissus mous,161,4.3,3.6,2.9,4.5
Suisse,Hommes,2008,C50,Sein,43,1.1,0.9,0.6,1.3
Suisse,Hommes,2008,C61,Prostate,6489,172.7,139.7,135.1,144.4
Suisse,Hommes,2008,C62,Testicule,402,10.7,10.3,9,11.7
Suisse,Hommes,2008,C64,Rein,566,15.1,12.5,11.1,13.9
Suisse,Hommes,2008,C67,Vessie,830,22.1,17.2,15.7,18.9
Suisse,Hommes,2008,"C65-66,C68",Autres organes urinaires,81,2.2,1.6,1.2,2.2
Suisse,Hommes,2008,C69,Œil,47,1.2,1.1,0.7,1.6
Suisse,Hommes,2008,C70-72,Cerveau et Système nerveux central,334,8.9,7.8,6.7,9
Suisse,Hommes,2008,C73,Thyroïde,109,2.9,2.6,2,3.3
Suisse,Hommes,2008,C81,Lymphome de Hodgkin,164,4.4,4.2,3.3,5.2
Suisse,Hommes,2008,"C82-86,C96",Lymphome non hodgkinien,745,19.8,16.4,14.8,18.1
Suisse,Hommes,2008,C90,Myélome multiple,241,6.4,5.1,4.3,6.1
Suisse,Hommes,2008,C91-95,Leucémie,514,13.7,11.6,10.2,13
Suisse,Hommes,2008,C91,Leucémie lymphoïde,284,7.6,6.4,5.4,7.6
Suisse,Hommes,2008,C92-94,Leucémie myéloïde,220,5.9,4.9,4.1,5.9
Suisse,Hommes,2008,Other_C-code,Autres localisations du cancer,609,16.2,13,11.6,14.4
Suisse,Hommes,2008,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),20956,557.8,456.1,447.7,464.5
Suisse,Hommes,2009,C00-14,Cavité buccale et pharynx,748,19.6,16.7,15.2,18.4
Suisse,Hommes,2009,C15,Œsophage,373,9.8,7.8,6.8,8.9
Suisse,Hommes,2009,C16,Estomac,536,14.1,11.2,10,12.6
Suisse,Hommes,2009,C17,Intestin grêle,67,1.8,1.4,1,1.9
Suisse,Hommes,2009,C18-20,Côlon et Rectum,2286,60,47.5,44.9,50.2
Suisse,Hommes,2009,C21,Anus et Canal anal,65,1.7,1.5,1,2.1
Suisse,Hommes,2009,C22,Foie,483,12.7,10.4,9.2,11.7
Suisse,Hommes,2009,C23-24,Vésicule et voies biliaires extra-hépat.,185,4.9,3.7,3,4.5
Suisse,Hommes,2009,C25,Pancréas,607,15.9,12.6,11.3,14
Suisse,Hommes,2009,C32,Larynx,203,5.3,4.3,3.6,5.1
Suisse,Hommes,2009,C33-34,"Poumon, Bronches, Trachée",2468,64.8,51.7,49,54.6
Suisse,Hommes,2009,"C38.4,C45.0",Plèvre,142,3.7,2.8,2.2,3.6
Suisse,Hommes,2009,C40-41,"Os, Articulations, Cartilage",56,1.5,1.3,0.9,1.9
Suisse,Hommes,2009,C43,Mélanome,1184,31.1,25.2,23.3,27.3
Suisse,Hommes,2009,"C47,C49",Tissus mous,129,3.4,2.8,2.2,3.6
Suisse,Hommes,2009,C50,Sein,28,0.7,0.6,0.3,0.9
Suisse,Hommes,2009,C61,Prostate,6573,172.6,138.8,134.3,143.5
Suisse,Hommes,2009,C62,Testicule,417,10.9,10.5,9.2,11.9
Suisse,Hommes,2009,C64,Rein,563,14.8,12.1,10.8,13.5
Suisse,Hommes,2009,C67,Vessie,811,21.3,16.4,15,18
Suisse,Hommes,2009,"C65-66,C68",Autres organes urinaires,60,1.6,1.2,0.8,1.8
